epoch,step,loss,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
5.54,11750,0.1865,3e-05,,,,
5.56,11800,0.2091,3e-05,,,,
5.58,11850,0.1941,3e-05,,,,
5.61,11900,0.2028,3e-05,,,,
5.63,11950,0.1813,3e-05,,,,
5.66,12000,0.1894,3e-05,,,,
5.68,12050,0.1892,3e-05,,,,
5.7,12100,0.195,3e-05,,,,
5.73,12150,0.1961,3e-05,,,,
5.75,12200,0.2002,3e-05,,,,
5.77,12250,0.2051,3e-05,,,,
5.8,12300,0.2006,3e-05,,,,
5.82,12350,0.1903,3e-05,,,,
5.84,12400,0.1931,3e-05,,,,
5.87,12450,0.2179,3e-05,,,,
5.89,12500,0.2069,3e-05,,,,
5.91,12550,0.1866,3e-05,,,,
5.94,12600,0.1918,3e-05,,,,
5.96,12650,0.199,3e-05,,,,
5.99,12700,0.1897,3e-05,,,,
6.01,12750,0.1862,3e-05,,,,
6.03,12800,0.1446,3e-05,,,,
6.06,12850,0.146,3e-05,,,,
6.08,12900,0.1596,3e-05,,,,
6.1,12950,0.1402,3e-05,,,,
6.13,13000,0.1553,3e-05,,,,
6.15,13050,0.1515,3e-05,,,,
6.17,13100,0.1712,3e-05,,,,
6.2,13150,0.1667,3e-05,,,,
6.22,13200,0.1702,3e-05,,,,
6.24,13250,0.1718,3e-05,,,,
6.27,13300,0.1762,3e-05,,,,
6.29,13350,0.1693,3e-05,,,,
6.31,13400,0.1539,3e-05,,,,
6.34,13450,0.164,3e-05,,,,
6.36,13500,0.1552,3e-05,,,,
6.39,13550,0.1516,3e-05,,,,
6.41,13600,0.1676,3e-05,,,,
6.43,13650,0.1523,3e-05,,,,
6.46,13700,0.1683,3e-05,,,,
6.48,13750,0.152,3e-05,,,,
6.5,13800,0.1676,3e-05,,,,
6.53,13850,0.1598,3e-05,,,,
6.55,13900,0.163,3e-05,,,,
6.57,13950,0.1671,3e-05,,,,
6.6,14000,0.1701,3e-05,,,,
6.62,14050,0.1634,3e-05,,,,
6.64,14100,0.1503,3e-05,,,,
6.67,14150,0.1811,3e-05,,,,
6.69,14200,0.1606,3e-05,,,,
6.72,14250,0.1515,3e-05,,,,
6.74,14300,0.1573,3e-05,,,,
6.76,14350,0.1737,3e-05,,,,
6.79,14400,0.1586,3e-05,,,,
6.81,14450,0.159,3e-05,,,,
6.83,14500,0.1538,3e-05,,,,
6.86,14550,0.1697,3e-05,,,,
6.88,14600,0.1627,3e-05,,,,
6.9,14650,0.1634,3e-05,,,,
6.93,14700,0.1743,3e-05,,,,
6.95,14750,0.1687,3e-05,,,,
6.97,14800,0.1596,3e-05,,,,
7.0,14850,0.1581,3e-05,,,,
7.02,14900,0.1267,3e-05,,,,
7.05,14950,0.131,3e-05,,,,
7.07,15000,0.1225,3e-05,,,,
7.07,15000,,,0.26065,182.7428,159.207,39.805
7.09,15050,0.1267,3e-05,,,,
7.12,15100,0.1395,3e-05,,,,
7.14,15150,0.1365,3e-05,,,,
7.16,15200,0.1287,3e-05,,,,
7.19,15250,0.1367,3e-05,,,,
7.21,15300,0.134,3e-05,,,,
7.23,15350,0.1502,3e-05,,,,
7.26,15400,0.1436,3e-05,,,,
7.28,15450,0.1307,3e-05,,,,
7.3,15500,0.1341,3e-05,,,,
7.33,15550,0.1481,3e-05,,,,
7.35,15600,0.1251,3e-05,,,,
7.38,15650,0.1429,3e-05,,,,
7.4,15700,0.1361,3e-05,,,,
7.42,15750,0.1279,3e-05,,,,
7.45,15800,0.1226,3e-05,,,,
7.47,15850,0.1451,3e-05,,,,
7.49,15900,0.1372,3e-05,,,,
7.52,15950,0.1402,3e-05,,,,
7.54,16000,0.1483,3e-05,,,,
7.56,16050,0.1377,3e-05,,,,
7.59,16100,0.1348,3e-05,,,,
7.61,16150,0.1415,3e-05,,,,
7.63,16200,0.1556,3e-05,,,,
7.66,16250,0.1356,3e-05,,,,
7.68,16300,0.1395,3e-05,,,,
7.71,16350,0.1453,3e-05,,,,
7.73,16400,0.1306,3e-05,,,,
7.75,16450,0.1373,3e-05,,,,
7.78,16500,0.1371,3e-05,,,,
7.8,16550,0.1284,3e-05,,,,
7.82,16600,0.1297,3e-05,,,,
7.85,16650,0.1383,3e-05,,,,
7.87,16700,0.1457,3e-05,,,,
7.89,16750,0.1432,3e-05,,,,
7.92,16800,0.134,3e-05,,,,
7.94,16850,0.149,3e-05,,,,
7.96,16900,0.1394,3e-05,,,,
7.99,16950,0.1332,3e-05,,,,
8.01,17000,0.1204,3e-05,,,,
8.03,17050,0.112,3e-05,,,,
8.06,17100,0.1158,3e-05,,,,
8.08,17150,0.113,3e-05,,,,
8.11,17200,0.1145,3e-05,,,,
8.13,17250,0.1102,3e-05,,,,
8.15,17300,0.1039,3e-05,,,,
8.18,17350,0.1105,3e-05,,,,
8.2,17400,0.1134,3e-05,,,,
8.22,17450,0.1144,3e-05,,,,
8.25,17500,0.1122,3e-05,,,,
8.27,17550,0.1111,3e-05,,,,
8.29,17600,0.1216,3e-05,,,,
8.32,17650,0.1146,3e-05,,,,
8.34,17700,0.1256,3e-05,,,,
8.36,17750,0.118,3e-05,,,,
8.39,17800,0.1187,3e-05,,,,
8.41,17850,0.1122,3e-05,,,,
8.44,17900,0.1203,3e-05,,,,
8.46,17950,0.1224,3e-05,,,,
8.48,18000,0.1187,3e-05,,,,
8.51,18050,0.1241,3e-05,,,,
